"LEP","minVac","maxVac"
"Black Country",0.0107395903120369,0.0146978769733261
"Buckinghamshire",0.0152578990008102,0.0185760399537122
"Cheshire and Warrington",0.017999192231373,0.0229399109421124
"Coast to Capital",0.0299194476409666,0.038810571161373
"Cornwall and Isles of Scilly",0.00633854040386547,0.0104567969179967
"Coventry and Warwickshire",0.0171861710111573,0.0218016770520809
"Cumbria",0.00406185091160859,0.00670435783259118
"Derby, Derbyshire, Nottingham and Nottinghamshire",0.0293373973883828,0.0376244558963326
"Dorset",0.0145422630299757,0.0175812574862456
"Enterprise M3",0.0363219011612206,0.0467597242908109
"Gloucestershire",0.0147726091926154,0.0235653174563466
"Greater Birmingham and Solihull",0.0394006103967579,0.0506260206859009
"Greater Cambridge and Greater Peterborough",0.0215890328713664,0.0284175705823525
"Greater Lincolnshire",0.0119576912926082,0.0165857807574924
"Greater Manchester",0.0661843468488243,0.0709961474958723
"Heart of the South West",0.0254271515619787,0.0332716265572622
"Hertfordshire",0.0279931955771251,0.0327491254199716
"Hull and East Yorkshire",0.00251117037858058,0.00332716265572622
"Lancashire",0.0179765162273562,0.0228898784209736
"Leeds City Region",0.0405261943226402,0.0470806023915545
"Leicester and Leicestershire",0.0131966332998511,0.0161760734539563
"Liverpool City Region",0.0175705823524887,0.0213638865262421
"London",0.0849552208935808,0.134998649743451
"New Anglia",0.0221694378463975,0.027918146795417
"North East",0.0220273260653308,0.0289765055360519
"Oxfordshire",0.0194938072159397,0.0238950809022068
"Sheffield City Region",0.0176624642182837,0.022459479867245
"Solent",0.0209154739400486,0.0251663581327863
"South East",0.0590467188765866,0.068788749956704
"South East Midlands",0.0397508380447291,0.0469383813019123
"Stoke-on-Trent and Staffordshire",0.0123637249527986,0.017436333616851
"Swindon and Wiltshire",0.0103024574669187,0.0133585074202651
"Tees Valley",0.00531675383602923,0.0080302196427678
"Thames Valley Berkshire",0.0280682443588332,0.0356759377922483
"The Marches",0.0110837864985626,0.014534447390804
"West of England",0.0298330640818524,0.0380453539598433
"Worcestershire",0.00915605903729419,0.0102214420739941
"York and North Yorkshire",0.00953919532271713,0.011557512383049
NA,0.0901453957996769,0.114999749837394
